Orthogroup	Acropora_digitifera	Acropora_millepora	Aiptasia_sp	Amplexidiscus_fenestrafer	Aurelia_aurita_ATL	Aurelia_aurita_PAC	Clytia_hemisphaerica	Dendronephthya_gigantea	Discosoma_sp	Fungia_spp	Galaxea_fascicularis	Goniastrea_aspera	Hydra_vulgaris	Montipora_capitata	Morbakka_virulenta	Nematostella_vectensis	Orbicella_faveolata	Pocillopora_damicornis	Pocillopora_meandrina	Pocillopora_verrucosa	Porites_evermanni	Porites_lobata	Porites_lutea	Porites_rus	Stylophora_pistillata	Total
OG0000152	1	17	2	5	7	6	10	31	5	21	17	29	1	37	4	11	30	11	16	7	23	18	15	13	5	342
OG0000153	9	3	9	7	11	6	20	6	19	11	2	14	0	64	0	3	1	7	43	6	14	59	9	12	6	341
OG0000154	3	3	2	21	35	22	2	0	16	0	1	6	79	87	0	0	0	0	0	0	14	22	4	18	4	339
OG0000155	11	10	10	8	8	8	8	24	6	18	11	16	6	14	9	12	42	13	15	11	16	22	17	13	11	339
OG0000156	2	11	1	0	0	0	0	0	0	33	4	36	0	21	0	4	10	22	42	2	57	75	7	7	3	337
OG0000157	23	23	9	5	3	1	0	7	4	26	15	16	0	25	1	2	31	13	18	22	19	19	13	20	21	336
OG0000158	3	18	7	15	10	3	4	10	28	5	23	32	0	86	0	17	1	1	3	0	20	21	15	9	3	334
OG0000159	4	6	34	4	11	6	1	2	4	28	9	32	0	3	2	5	15	9	23	12	21	29	24	14	36	334
OG0000160	6	12	15	8	5	1	3	6	8	33	4	42	8	14	12	8	25	12	14	12	25	20	15	17	9	334
OG0000161	15	12	3	10	12	14	7	8	6	19	9	19	0	10	2	21	22	8	20	11	26	18	25	25	9	331
OG0000162	7	11	13	9	2	4	8	8	12	15	12	23	14	26	9	28	24	12	14	12	15	16	12	13	11	330
OG0000163	1	23	4	2	99	49	14	12	3	6	12	14	1	19	0	1	0	4	1	4	13	19	19	6	3	329
OG0000164	18	14	9	10	5	5	1	4	7	23	20	28	0	23	6	2	31	10	11	9	19	19	17	21	14	326
OG0000165	2	8	4	3	0	0	0	4	2	25	21	23	0	22	0	17	30	10	22	6	32	38	32	22	2	325
OG0000166	8	13	13	10	11	7	4	8	7	15	18	11	27	14	17	15	16	11	11	13	17	15	19	11	12	323
OG0000167	67	23	13	3	3	4	4	0	17	7	0	18	3	6	17	0	0	10	2	17	7	12	10	52	27	322
OG0000168	1	15	13	36	0	0	5	19	32	12	18	6	0	41	0	8	6	17	20	4	7	13	9	10	29	321
OG0000169	10	13	22	1	12	6	17	20	37	3	3	8	0	79	0	4	3	2	7	8	10	7	2	14	28	316
OG0000170	18	5	7	1	1	0	0	0	1	23	12	12	1	46	1	3	15	7	22	12	35	40	22	24	6	314
OG0000171	0	0	4	0	22	12	0	6	4	0	0	0	0	14	227	0	0	0	0	0	7	4	0	12	1	313
OG0000172	0	0	0	2	0	0	0	3	4	22	3	17	0	2	0	2	9	4	14	21	51	81	26	43	8	312
OG0000173	2	15	6	6	15	19	2	15	12	16	6	56	0	89	0	7	2	0	0	0	9	18	5	5	4	309
OG0000174	5	10	9	11	0	0	0	1	20	21	2	12	0	92	0	1	7	5	10	9	33	36	3	19	3	309
OG0000175	0	0	33	2	3	3	0	0	6	17	8	11	0	69	1	4	0	0	0	0	41	59	11	41	0	309
OG0000176	9	10	15	9	11	11	7	19	9	15	13	18	5	13	17	16	23	11	10	14	11	8	9	13	11	307
OG0000177	10	11	14	15	3	2	1	1	22	20	14	20	3	13	0	23	20	12	11	10	15	16	22	17	12	307
OG0000178	6	6	24	3	25	14	10	19	5	17	8	14	6	11	5	11	35	10	12	9	13	12	11	10	10	306
OG0000179	2	4	3	7	0	0	4	18	8	23	8	12	0	11	7	4	22	17	28	23	28	27	19	14	17	306
OG0000180	10	6	26	27	0	0	21	0	32	9	3	6	0	67	0	4	0	9	13	16	13	15	4	19	6	306
OG0000181	1	5	3	2	2	3	1	0	4	46	7	28	0	9	0	15	27	26	45	5	18	24	18	16	1	306
OG0000182	7	2	10	23	0	0	0	7	34	5	2	20	0	57	0	0	1	5	18	12	27	31	6	16	22	305
OG0000183	3	8	15	4	2	3	1	7	3	33	7	32	0	17	1	3	18	16	32	21	21	16	11	19	11	304
OG0000184	12	18	0	12	0	0	0	2	2	19	17	32	0	22	0	4	15	22	28	19	15	31	16	15	3	304
OG0000185	0	1	0	0	0	0	0	0	0	0	0	0	0	2	301	0	0	0	0	0	0	0	0	0	0	304
OG0000186	17	0	9	3	9	4	24	1	10	49	1	57	0	40	0	1	1	0	0	0	21	33	2	20	0	302
OG0000187	7	0	15	1	2	1	23	1	0	0	0	0	63	19	25	0	1	0	11	31	14	37	0	19	31	301
OG0000188	7	5	2	4	1	0	7	0	8	29	6	22	8	11	1	4	22	10	22	8	36	23	31	21	11	299
OG0000189	10	19	8	4	8	3	2	6	8	8	1	21	0	159	0	2	2	2	5	6	2	12	1	3	5	297
OG0000190	8	7	1	1	1	3	11	1	3	36	11	35	4	13	0	9	7	6	10	5	42	38	23	18	3	296
OG0000191	15	13	13	11	0	0	0	0	5	26	9	42	0	28	0	3	22	10	13	12	16	19	12	19	6	294
OG0000192	13	14	9	3	12	6	1	2	4	21	4	33	1	7	3	26	25	4	1	1	20	34	30	18	1	293
OG0000193	31	10	0	1	0	0	0	19	3	23	6	24	0	40	0	0	11	11	16	15	11	11	14	23	23	292
OG0000194	6	5	4	1	0	0	0	19	0	26	2	7	0	11	0	1	4	24	59	46	7	13	1	4	52	292
OG0000195	5	10	7	4	11	5	1	19	5	15	8	15	1	17	3	4	16	7	8	6	26	37	27	31	4	292
OG0000196	4	4	18	5	2	4	0	13	3	23	11	24	1	16	6	11	28	11	9	11	18	16	20	21	11	290
OG0000197	8	10	1	5	1	0	6	0	4	26	13	14	20	22	1	2	16	13	20	14	25	27	18	16	8	290
OG0000198	17	7	5	6	6	10	0	19	6	19	8	20	0	20	9	10	17	8	7	10	24	22	16	17	7	290
OG0000199	22	19	12	6	0	2	7	17	8	12	10	10	8	13	2	8	9	8	11	13	16	11	19	23	21	287
OG0000200	8	6	5	22	10	9	8	3	26	7	1	16	0	61	0	0	10	1	4	3	17	38	14	15	3	287
OG0000201	9	6	10	9	13	11	10	12	8	10	8	10	11	14	15	18	14	8	13	11	23	13	11	8	12	287
OG0000202	2	2	2	2	5	4	4	2	2	2	2	2	45	3	183	4	3	2	2	2	3	3	2	2	2	287
OG0000203	5	8	10	9	13	4	6	16	8	22	7	12	6	8	6	5	17	10	10	8	22	25	23	14	11	285
OG0000204	19	4	9	30	11	14	36	9	33	0	0	0	10	26	34	0	2	0	0	4	1	3	12	14	12	283
OG0000205	0	1	0	2	0	0	0	0	0	63	0	32	0	10	0	0	17	18	31	7	27	25	20	29	1	283
OG0000206	19	9	9	22	0	0	23	0	4	10	6	18	0	6	24	6	0	0	6	14	11	28	10	37	19	281
OG0000207	16	7	1	2	0	0	0	6	2	60	14	32	0	13	0	0	13	8	11	5	21	39	8	18	5	281
OG0000208	12	9	13	3	2	1	1	31	4	22	11	16	1	9	1	16	28	12	13	9	17	11	12	17	10	281
OG0000209	5	19	28	0	0	0	0	0	3	24	17	74	0	10	0	2	3	9	15	2	22	23	12	11	2	281
OG0000210	7	7	8	8	9	9	11	8	9	16	11	13	12	14	7	10	18	11	10	9	14	13	17	18	12	281
OG0000211	6	24	23	4	1	0	28	0	10	0	6	1	0	12	114	0	0	2	0	3	7	6	8	21	0	276
OG0000212	5	6	9	15	8	8	9	20	23	8	7	26	0	43	0	0	0	10	23	6	7	12	5	6	19	275
OG0000213	9	9	12	8	9	5	4	15	4	15	9	9	1	10	8	11	19	11	16	12	19	18	19	15	8	275
OG0000214	7	9	2	5	1	3	11	7	8	19	10	26	8	26	1	5	16	6	10	4	17	35	18	18	3	275
OG0000215	5	0	12	10	0	0	6	0	8	3	0	9	43	89	0	0	5	2	24	6	10	14	2	9	17	274
OG0000216	19	6	7	7	0	0	0	8	5	16	8	10	0	13	0	2	28	11	19	18	10	21	25	23	16	272
OG0000217	4	9	8	10	0	1	0	0	17	12	16	33	0	52	0	6	4	11	16	11	10	10	16	11	13	270
OG0000218	16	22	3	4	0	0	0	12	2	26	9	15	0	28	0	3	13	19	26	17	14	15	7	12	7	270
OG0000219	24	17	0	1	0	0	0	0	0	17	11	20	0	18	0	0	19	5	25	18	21	15	17	25	16	269
OG0000220	4	16	8	17	0	0	0	5	4	37	13	57	0	5	0	2	7	4	18	2	13	21	17	10	9	269
